block,leaf,field,n_experiments,min_dscore,max_dscore,mean_abs_dscore,max_abs_dscore,status,manual_override,crosscheck_tested,crosscheck_peak_abs_dscore,crosscheck_verdict
Receptors_protein,ePP2A+FMRPp,Km,22,-0.021323,0.033456,0.005046,0.033456,well_identified,,,,
Glu_mGluR_1,RpS870+Glu,Kd,21,-5.4e-05,0.03347,0.002059,0.03347,sloppy,,,,
AMPAR_3,eCaN+iAMPARpS845,Km,23,-0.033736,0.02361,0.004174,0.033736,well_identified,,,,
Glu_mGluR_2,ePKA+R,kcat,21,-0.011684,0.034654,0.002647,0.034654,well_identified,,,,
AMPAR_2,ePP1+iAMPARpS831,kcat,23,-0.007922,0.035063,0.002372,0.035063,well_identified,,,,
AMPAR_1,ePP1+sAMPARpS831,Km,23,-0.035091,0.024234,0.004329,0.035091,sloppy,,,,
AMPAR_1,ePKA+Glu_sAMPARp,Km,23,-0.013445,0.035186,0.003208,0.035186,sloppy,,,,
AMPAR_2,ePP1+sAMPARpS831,kcat,23,-0.035551,0.021135,0.003986,0.035551,sloppy,,,,
AMPAR_2,eCaN+sAMPARpS845S831,Km,23,-0.012437,0.035626,0.00393,0.035626,sloppy,,,,
AMPAR_4,ePKA+intAMPAR,Km,23,-0.035799,0.023158,0.005678,0.035799,well_identified,,,,
AC_1,CaMCa4+PDE1,Kd,15,-0.035897,0.028912,0.00791,0.035897,well_identified,,,,
AMPAR_2,ePKA+sAMPARpS831,Km,23,-0.036205,0.021565,0.004379,0.036205,well_identified,,,,
Glu_mGluR_2,ePP2A+RpS870,kcat,21,-0.000138,0.036749,0.003045,0.036749,sloppy,,,,
AMPAR_1,Glu+sAMPARpS845,Kd,23,-0.03735,0.02487,0.004558,0.03735,sloppy,,,,
AMPAR_3,exchange,tau,23,-0.002778,0.037579,0.003311,0.037579,well_identified,,,,
Receptors_Ras_2,ePKA+GEF,Km,9,-0.03764,0.001558,0.00938,0.03764,sloppy,,,,
PKC,PKC_Ca_to_memb,tau,7,-0.038633,9e-06,0.006508,0.038633,sloppy,,,,
Receptors_protein,eCKII+FMRP,kcat,22,-0.039124,0.016548,0.004936,0.039124,sloppy,,,,
AMPAR_1,synGAPpPSD_dissoc,Kd,23,-0.028026,0.040051,0.004204,0.040051,well_identified,,,,
AC_1,eAC2pGs+ATP,kcat,15,-0.040687,0.00429,0.003,0.040687,sloppy,,,,
Receptors_S6,S6_deph,Kf,21,-0.000675,0.041876,0.002148,0.041876,sloppy,,,,
Receptors_protein,elongation,tau,22,-0.042968,0.018189,0.004133,0.042968,well_identified,,,,
Glu_mGluR_1,RpS870Glu+Gq,tau,21,-6.8e-05,0.043088,0.002059,0.043088,sloppy,,,,
Receptors_eIF4E,eMAPK+4EBPpq,kcat,15,-0.043243,0.01714,0.005532,0.043243,sloppy,,,,
AMPAR_2,eCaN+iAMPARpS845,kcat,23,-0.009504,0.044082,0.00362,0.044082,sloppy,,,,
AMPAR_2,ePP1+iAMPARpS831,Km,23,-0.010647,0.044807,0.005239,0.044807,sloppy,,,,
AMPAR_2,ePKA+sAMPAR,Km,23,-0.008304,0.046087,0.005521,0.046087,well_identified,,,,
TrKs_PLCg,eTrKB+PLCg,kcat,14,-0.046724,5e-06,0.00364,0.046724,sloppy,,,,
PKC,PKC_Ca_DAG_to_memb,Kd,7,-0.0,0.047755,0.015025,0.047755,well_identified,,,,
Receptors_MAPK_1,Ras+craf,tau,45,-0.048324,0.047933,0.007475,0.048324,well_identified,,,,
Glu_mGluR_3,Glu+mGluR,tau,21,-0.007357,0.049814,0.003357,0.049814,well_identified,,,,
AMPAR_2,Glu+sAMPARpS845S831,tau,23,-0.002734,0.050164,0.002636,0.050164,well_identified,,,,
Glu_mGluR_3,GluGq_act,Kf,21,-0.010882,0.050353,0.007104,0.050353,well_identified,,,,
AMPAR_4,exchange,Kd,23,-0.031163,0.050534,0.004757,0.050534,sloppy,,,,
Receptors_S6,ebS6K+S6,Km,21,-0.002178,0.050712,0.003124,0.050712,sloppy,,,,
b2AR,Iso_act_Gs,Kf,3,-0.049204,0.052374,0.041794,0.052374,sloppy,,,,
Receptors_mTOR_S6K,RhebGTP+mTOR,Kd,5,-0.053298,0.050072,0.029049,0.053298,well_identified,,,,
Receptors_AKT,ePI3K+AKT,kcat,25,-0.053977,0.001578,0.011848,0.053977,well_identified,,,,
PKA_1,Release_C2,Kd,9,-0.054379,0.037731,0.011945,0.054379,sloppy,,,,
AMPAR_1,synGAPpPSD_dissoc,tau,23,-0.054845,0.019694,0.006075,0.054845,sloppy,,,,
PKA_1,PKAinhib+PKA,Kd,9,-0.055529,1.7e-05,0.007593,0.055529,sloppy,,,,
